REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Montréal","Université de Montréal","Centre hospitalier universitaire Mère-Enfant - Hôpital Ste-Justine","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Bénédicte AMILHON","La plateforme d'analyse des circuits cérébraux: des circuits neuronaux au comportement","MSSS",,120249,,120249,300626,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Montréal","Université Concordia","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Zhibin YE","Infrastructure de recherche sur les nanomatériaux polymères","MEES",125000,,,125000,317749,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Production et technologie industrielles","Chimie des polymères"
"Estrie","Université de Sherbrooke","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Myriam Lemelin","Chaire de recherche du Canada sur la télédétection nordique et astrogéologique","MEES",87537,,,87537,219204,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Croûte et enveloppe terrestres","Sciences de la terre"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Yang ZHOU","Chaire de recherche du Canada en neurobiologie des troubles du développement du cerveau","MEES",140000,,,140000,352552,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Neurosciences"
"Capitale-Nationale","Université Laval","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Sergey Mikhaylin","Système de champ électrique pulsé pour modifier les propriétés physico-chimiques et la bioactivité de molécules alimentaires et améliorer l'éco-efficience de la transformation des aliments","MEES",102828,,,102828,262109,"Sciences naturelles et génie","Agroalimentaire","Fabrication de produits alimentaires et de boissons","Science et technologie de l'alimentation"
"Montréal","Université Concordia","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Lingyu Wang","Sécurité en matière de réseautage logiciel et de virtualisation des fonctions de réseau : surveillance, détection et atténuation axées sur la conformité","MEES",92092,,,92092,233103,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Systèmes de télécommunications","Technologie de l'information: informatique"
"Montréal","Université Concordia","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Ursula Eicker","Chaire d'excellence en recherche du Canada sur le laboratoire de villes de la prochaine génération","MEES",425000,,,425000,1157527,"Sciences naturelles et génie","Énergie","Ressources renouvelables: production et technologies","Environnement"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jennifer Sunday","Réseau de micro-écosystèmes pour prédire les réactions écologiques aux changements environnementaux","MEES",175200,,,175200,438283,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Mers et océans","Évolution et écologie"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jörg FRITZ","Exploiter le métabolisme du microbiote pour améliorer la santé humaine","MEES",352778,,,352778,938100,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Immunologie"
"Capitale-Nationale","Université Laval","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Bruce Shearer","Base de données appariées entre médecins et patients du Québec (BMPQ)","MEES",38114,,,38114,95284,"Santé","Économie, gestion et gouvernance","Santé","Sciences économiques"
"Montréal","Université de Montréal","Institut de cardiologie de Montréal (ICM)","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Marie-Pierre DUBÉ","Recherche en médecine de précision portant sur le diabète et les maladies cardiovasculaires","MSSS",,84978,,84978,215318,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Génétique"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Stephen Lomber","Chaire de recherche du Canada sur la plasticité et le développement du cerveau","MEES",520000,,,520000,1986778,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Neurosciences"
"Mauricie","Cégep de Trois-Rivières","Centre de métallurgie du Québec (CMQ)","2019-2020","Fonds collège-industrie pour l'innovation","Volet 1 - Infrastructure de recherche","Gheorghe MARIN","Consolidation de la capacité de recherche en métallurgie des poudres et fabrication additive","MEES",797200,,,797200,1993000,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Fabrication et réparation de matériel aérospatial","Science et technologie des matériaux"
"Montréal","Université du Québec à Montréal (UQAM)","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Ali Nazemi","Développement de nouveaux systèmes macromoléculaires pour applications biomédicales","MEES",105000,,,105000,265859,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Recherches à caractère général et autres recherches médicales","Chimie des polymères"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Samy Cecioni","Infrastructure pour une glycomique chimique de pointe","MEES",179550,,,179550,452647,"Sciences naturelles et génie","Biopharmaceutique","Santé","Chimie organique"
"Montréal","Université de Montréal","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Simon-Pierre Gravel","Caractérisation de la régulation et du rôle des coactivateurs transcriptionnels PGC-1 dans les maladies de la peau","MEES",138146,,,138146,358082,"Santé","Biopharmaceutique","Santé","Biologie moléculaire et cellulaire"
"Montréal","Université McGill","CIUSSS du Centre-Ouest-de-l'Île-de-Montréal - Hôpital général juif - Institut Lady Davis (CR)","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","François Mercier","La génomique fonctionnelle de la leucémie aigüe myéloïde","MSSS",,60000,,60000,162715,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Recherches médicales, traitement hospitalier, chirurgie","Cancer/oncologie"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Benoit Arsenault","Infrastructure pour unité de recherche sur le métabolisme des lipoprotéines","MSSS",,109115,,109115,273539,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Cardiologie"
"Montréal","Université de Montréal","CIUSSS du Nord-de-l'Île-de-Montréal","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jonathan Brouillette","Systèmes de microdissection au laser et d’optogénétique pour la découverte des mécanismes moléculaires qui sous-tendent les pertes de mémoire lors du vieillissement","MSSS",,110020,,110020,275051,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Vieillissement"
"Montréal","Université de Montréal","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Ahmad Hamdan","Infrastructure de recherche sur les plasmas multiphasiques","MEES",233586,,,233586,583965,"Sciences naturelles et génie","Développement durable et technologies vertes","Ressources renouvelables (rech. générale)","Physique"
"Capitale-Nationale","Université Laval","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","François Pomerleau","Perception 3D robuste aux conditions environnementales complexes","MEES",100000,,,100000,300760,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Systèmes de transport","Robotique"
"Montréal","Université Concordia","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Laurent Potvin-Trottier","Plateforme de microscopie pour l'imagerie et l'isolation de cellules uniques en modalité microfluidique permettant la caractérisation temporelle précise","MEES",100000,,,100000,251385,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Génie biomédical et pharmacologie","Génie biomédical"
"Capitale-Nationale","Université Laval","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Caroline Halde","Laboratoire d'agroécologie : faire progresser la recherche sur les racines des plantes et élucider les interactions plante-sol dans les agroécosystèmes","MEES",80220,,,80220,200816,"Sciences naturelles et génie","Agroalimentaire","Agriculture","Agronomie, foresterie"
"Capitale-Nationale","Université Laval","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Benoit GOSSELIN","Plateforme de microfabrication et d’intégration multi-technologie de microsystèmes bioélectroniques intelligents","MEES",100000,,,100000,250000,"Sciences naturelles et génie","Micro-électronique","Fabrication de tout autre type d'instrument","Génie biomédical"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Vincent Mooser","Chaire d'excellence en recherche du Canada sur la nouvelle génération de traitements prenant les gènes comme cibles thérapeutiques","MEES",798952,,,798952,1997381,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Produits pharmaceutiques","Génétique"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Etienne Audet-Walsh","Cibler les vulnérabilités métaboliques pour le traitement du cancer de la prostate","MSSS",,119998,,119998,328746,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie moléculaire et cellulaire"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Hôtel-Dieu de Québec","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Paul Toren","Développement de biomarqueurs de nouvelle génération pour le traitement du cancer de la prostate","MSSS",,117745,,117745,298184,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Cancer/oncologie"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Dominique BERTEAUX","Chaire de recherche du Canada en biodiversité nordique","MEES",75000,,,75000,187500,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Espèces vivantes et biotopes","Évolution et écologie"
